In CClientMusic::RegisterSteamMusicRemote callback size mismatch ! CallbackID 3221, size 4, expected size 1
ID 992, Size 1, Sent in CSteamEngine::PostCallbackToAllUI<StartBigPictureForStreaming_t> CUser::StartNVStreaming 
ID 993, Size 1, Sent in CSteamEngine::PostCallbackToAllUI<StopBigPictureForStreaming_t> CUser::StopNVStreaming 
ID 994, Size 264, Sent in CUser::SendAppLicenseUpdates 
ID 996, Size 1, Sent in CSteamEngine::PostCallbackToAllUI<ShowRecentGamesOptimizedForRemotePlay_t> 
ID 997, Size 1, Sent in CSteamEngine::PostCallbackToAllUI<HideRecentGamesOptimizedForRemotePlay_t> 
ID 998, Size 1, Sent in CClientJobSendSteamServiceCheck::BYieldingRunAPIJob 
ID 999, Size 1, Sent in CUser::UpdateCommunityPreferences 
ID 1001, Size 4, Sent in CSteamEngine::PostCallbackToAllUI<AppInfoChanged_t> CSteamEngine::PostCallbackToAllUsers<AppInfoChanged_t> 
ID 1003, Size 12, Sent in CSteamEngine::PostCallbackToAllUsers<AppInfoUpdateComplete_t> 
ID 1005, Size 4, Sent in CAppUpdateContext::NotifyAboutAddedDLC 
ID 1006, Size 16, Sent in CSteamEngine::PostCallbackToAllUsers<AppEventStateChange_t> 
ID 1007, Size 32, Sent in CSteamEngine::PostCallbackToAllUsers<AppValidationComplete_t> 
ID 1009, Size 136, Sent in CSteamEngine::PostCallbackToAllUsers<DownloadScheduleChanged_t> 
ID 1010, Size 12, Sent in CSteamEngine::PostCallbackToAllUsers<AppUpdateStateChange_t> 
ID 1011, Size 32, Sent in CSteamEngine::PostCallbackToAllUsers<AppLaunchTenFootOverlay_t> 
ID 1012, Size 40, Sent in CSteamEngine::PostCallbackToAllUsers<AppBackupStatus_t> 
ID 1014, Size 1, Sent in CUserAppManager::CommitLaunchQueryParams 
ID 1016, Size 8, Sent in CUserAppManager::SetAppAutoUpdateBehavior 
ID 1017, Size 20, Sent in CSteamEngine::PostCallbackToAllUsers<AppInfoUpdateProgress_t> 
ID 1018, Size 572, Sent in CSteamEngine::PostCallbackToAllUsers<AppUpdateStopped_t> 
ID 1019, Size 4, Sent in CUser::AddAppTag CUser::ClearAndSetAppTags CUser::ClearAppTags CUser::RemoveAppTag CUser::SetAppHidden CUserAppInfo::SetUserAppConfig 
ID 1020, Size 200, Sent in EYieldingCheckAppBetaPassword 
ID 1021, Size 252, Sent in CUser::PostLegacyCDKeyResponseToApp 
ID 1022, Size 1, Sent in CSteamEngine::PostCallbackToAllUI<AppConfigInitialized_t> 
ID 1024, Size 24, Sent in CSteamEngine::PostCallbackToAllUsers<AppMoveFolderResult_t> 
ID 1025, Size 4, Sent in CSteamEngine::PostCallbackToAllUsers<AppUpdateProgress_t> 
ID 1027, Size 524, Sent in CUserAppManager::LaunchApp 
ID 1028, Size 1, Sent in CSteamEngine::PostCallbackToAllUsers<AppStoreTagLocalizationChanged_t> 
ID 1029, Size 24, Sent in CSteamEngine::PostCallbackToAllUsers<AppLaunchClientUIOverlay_t> 
ID 1030, Size 16, Sent in CClientTimedTrialManager::SendStatusCallback 
ID 1101, Size 20, Sent in CAPIJobRequestUserStats::PostCallback<UserStatsReceived_t> CClientJobStatsUpdated::BYieldingRunClientJob 
ID 1102, Size 12, Sent in CAPIJobStoreUserStats::PostCallback 
ID 1103, Size 148, Sent in CUserStats::GetOrFetchAchievementIcon CUserStats::OnAchievementIconLoaded 
ID 1108, Size 8, Sent in CUserStats::AgeOutStats 
ID 1109, Size 144, Sent in CUserStats::GetOrFetchAchievementIcon CUserStats::OnAchievementIconLoaded 
ID 1201, Size 20, Sent in CClientNetworkingAPI::OnSocketConnectionStateUpdated 
ID 1202, Size 8, Sent in CP2PNetworkingSession::P2PConnectionInfoArrived 
ID 1203, Size 9, Sent in CP2PNetworkingSession::P2PConnectFailed 
ID 1295, Size 4, Sent in CSteamEngine::PostCallbackToAllUsers<SteamNetworkingSocketsConfigUpdated_t> 
ID 1297, Size 148, Sent in CClientJobP2PConnectionFailInfo::BYieldingRunClientJob 
ID 1301, Size 12, Sent in CClientJobRemoteStorageSync::PostCallbackToUIAndApp<RemoteStorageAppSyncedClient_t const> CClientJobRemoteStorageSync::PostCallbackToUIAndApp<RemoteStorageAppSyncedClient_t> CUserRemoteStorage::SynchronizeApp 
ID 1302, Size 12, Sent in CClientJobRemoteStorageSync::PostCallbackToUIAndApp<RemoteStorageAppSyncedServer_t> CUserRemoteStorage::SynchronizeApp 
ID 1303, Size 280, Sent in CClientJobRemoteStorageSync::PostCallbackToUIAndApp<RemoteStorageAppSyncProgress_t> 
ID 1304, Size 8, Sent in CClientJobRemoteStorageSync::YieldingValidateFileStates 
ID 1305, Size 8, Sent in CClientJobRemoteStorageSync::PostCallbackToUIAndApp<RemoteStorageAppSyncStatusCheck_t> CUserRemoteStorage::EvaluateRemoteStorageSyncState 
ID 1306, Size 8, Sent in CClientJobRemoteStorageSync::PostCallbackToUIAndApp<RemoteStorageConflictResolution_t> CUserRemoteStorage::ResolveSyncConflict 
ID 1309, Size 16, Sent in CAPIJobPublishFile::BYieldingRunAPIJob 
ID 1311, Size 16, Sent in CJobDownloadSubscribedFile::BYieldingRunJob 
ID 1312, Size 12, Sent in CSubscribedFileManager::PauseDownload 
ID 1313, Size 16, Sent in CJobDownloadSubscribedFile::BYieldingRunJob 
ID 1314, Size 16, Sent in CSubscribedFileManager::AddSubscription 
ID 1315, Size 1, Sent in CSubscribedFileManager::OnSubscriptionsProcessed 
ID 1316, Size 16, Sent in CAPIJobUpdatePublishedFile::BYieldingRunAPIJob 
ID 1321, Size 12, Sent in CClientJobPublishedFileSubscribed::YieldingRunMethod 
ID 1322, Size 12, Sent in CClientJobPublishedFileUnsubscribed::YieldingRunMethod 
ID 1323, Size 12, Sent in CClientJobPublishedFileDeleted::YieldingRunMethod 
ID 1329, Size 12, Sent in CAPIJobPublishFile::PostProgress 
ID 1330, Size 20, Sent in CAppWorkshopContent::BSetLegacyWorkshopItemInfo CAppWorkshopContent::BSetWorkshopItemInfo 
ID 1603, Size 4, Sent in CSteamEngine::PostCallbackToAllUsers<CellIDChanged_t> 
ID 1701, Size 4, Sent in CClientGameCoordinator::MessageReceived 
ID 1702, Size 1, Sent in CClientJobGCMessageFailed::BYieldingRunClientJob 
ID 1800, Size 12, Sent in CAPIJobRequestUserStats::PostCallback<GSStatsReceived_t> CClientJobStatsUpdated::BYieldingRunClientJob 
ID 2001, Size 16, Sent in CAPIJobGetNewSession::BYieldingRunAPIJob 
ID 2002, Size 12, Sent in CAPIJobEndSession::BYieldingRunAPIJob 
ID 2102, Size 12, Sent in CClientHTTPStreamingResponseHandler::OnHeaderComplete 
ID 2103, Size 20, Sent in CClientHTTPStreamingResponseHandler::OnBodyDataReceived 
ID 2201, Size 24, Sent in CAPIJobUploadScreenshots::PostProgress 
ID 2202, Size 24, Sent in CClientJobImportScreenshot::BYieldingRunClientJob CClientJobWriteScreenshot::BYieldingRunClientJob CUserScreenshots::RecoverScreenshot 
ID 2203, Size 600, Sent in CAPIJobUploadScreenshots::BYieldingRunAPIJob 
ID 2205, Size 16, Sent in CAPIJobDeleteScreenshots::BYieldingRunAPIJob 
ID 2206, Size 8, Sent in CSteamEngine::PostCallbackToAllUsers<ScreenshotTriggered_t> CUserScreenshots::TriggerScreenshot 
ID 2301, Size 8, Sent in CClientJobImportScreenshot::BYieldingRunClientJob CClientJobWriteScreenshot::BYieldingRunClientJob 
ID 2302, Size 1, Sent in CUserScreenshots::RequestScreenshotFromGame 
ID 2501, Size 24, Sent in CBufferedServiceMethodClientJob::BYieldingRunJob CServiceMethodClientJob::FinalizeJob 
ID 2601, Size 8, Sent in CUser::OnBigPictureForStreamingStartResult 
ID 2602, Size 1, Sent in CUser::RequestStopNVStreaming 
ID 2603, Size 1, Sent in CUser::OnBigPictureForStreamingDone 
ID 2604, Size 1, Sent in CUser::OnBigPictureForStreamingRestarting 
ID 2701, Size 4, Sent in CSteamEngine::PostCallbackToAllUI<ControllerConnected_t> 
ID 2702, Size 4, Sent in CSteamEngine::PostCallbackToAllUI<ControllerDisconnected_t> 
ID 2703, Size 24, Sent in CSteamEngine::PostCallbackToAllUI<LoadControllerConfigResult_t> 
ID 2707, Size 88, Sent in CSteamEngine::PostCallbackToAllUI<ControllerDetails_t> 
ID 2710, Size 524, Sent in CSteamEngine::PostCallbackToAllUI<SetControllerOverrideModeForApp_t> 
ID 2712, Size 2, Sent in CSteamEngine::PostCallbackToAllUI<ControllerWirelessPresence_t> 
ID 2714, Size 4, Sent in CSteamEngine::PostCallbackToAllUI<ControllerPaired_t> 
ID 2715, Size 40, Sent in CSteamEngine::PostCallbackToAllUI<ControllerTouchMenuCreate_t> 
ID 2716, Size 8, Sent in CSteamEngine::PostCallbackToAllUI<ControllerTouchMenuDestroy_t> 
ID 2717, Size 1, Sent in CSteamEngine::PostCallbackToAllUI<ControllerPacketLossUI_t> 
ID 2718, Size 12, Sent in CSteamEngine::PostCallbackToAllUI<ControllerShowBindingPanel_t> 
ID 2720, Size 4096, Sent in CSteamEngine::PostCallbackToAllUI<ControllerConfigLoadError_t> 
ID 2722, Size 4, Sent in CSteamEngine::PostCallbackToAllUI<ControllerDisplayKeyboard_t> 
ID 2723, Size 8, Sent in CSteamEngine::PostCallbackToAllUI<ReceivedControllerConfigSets_t> 
ID 2724, Size 80, Sent in CSteamEngine::PostCallbackToAllUI<ControllerPersonalizationUpdated_t> 
ID 2725, Size 4, Sent in CSteamEngine::PostCallbackToAllUI<ControllerAccountsUpdated_t> 
ID 2726, Size 4, Sent in CSteamEngine::PostCallbackToAllUI<ControllerDongleUpdateStatus_t> 
ID 2727, Size 4, Sent in CSteamEngine::PostCallbackToAllUI<ReceivedControllerPersonalizationCfg_t> 
ID 2728, Size 16, Sent in CSteamEngine::PostCallbackToAllUI<ControllerActionSetChanged_t> 
ID 2729, Size 16, Sent in CSteamEngine::PostCallbackToAllUI<ControllerActionTriggered_t> 
ID 2731, Size 1052, Sent in CSteamEngine::PostCallbackToAllUI<SavePersonalizationFile_t> 
ID 2732, Size 12, Sent in CSteamEngine::PostCallbackToAllUI<ControllerAutosaveBinding_t> 
ID 2733, Size 1, Sent in CSteamEngine::PostCallbackToAllUI<ControllerEnableCacheReset_t> 
ID 2734, Size 12, Sent in CSteamEngine::PostCallbackToAllUI<ControllerConfigVersionMismatch_t> 
ID 2735, Size 72, Sent in CSteamEngine::PostCallbackToAllUI<ControllerPlayerNumberChanged_t> 
ID 2736, Size 20, Sent in CSteamEngine::PostCallbackToAllUI<ControllerActionSetLayerChanged_t> 
ID 2737, Size 4, Sent in CSteamEngine::PostCallbackToAllUI<GuideButtonsPressedChange_t> 
ID 2901, Size 1, Sent in CUser::NotifyParentalLockChanged 
ID 2902, Size 2, Sent in CUser::NotifyParentalLockChanged 
ID 2903, Size 4, Sent in CUser::NotifyParentalLockChanged CUser::UnlockParentalLock 
ID 2904, Size 4, Sent in CUser::LockParentalLock CUser::OnValidateParentalPasswordResponse 
ID 2905, Size 8, Sent in CUser::OnSetParentalSettingsResponse 
ID 3001, Size 84, Sent in CClientJobAuthorizeLocalDeviceNotification::BYieldingRunClientJob 
ID 3002, Size 76, Sent in CClientJobDeauthorizeLocalDevice::BYieldingRunClientJob 
